,직종코드,Unnamed: 1,Unnamed: 2,Unnamed: 3
1201,119, ,"식품가공 기능원(도축·정육,김치·밑반찬제조 등)", 
1202,532301, , ,주방 보조원(일반 음식점)
1203,872100, , ,정육원 및 도축원
1204,872101, , ,도축원
1205,872102, , ,정육원
1206,872200, , ,김치·밑반찬 제조 종사원
1207,872300, , ,식품·담배 등급원
1208,872900, , ,"기타 식품가공 종사원 (건강원,탕제원)"
1209,11A, ,식품가공 기계 조작, 
1210,873100, , ,육류·어패류·낙농품 가공기계 조작원
1211,873101, , ,육류 가공기계 조작원
1212,873102, , ,어패류(수산물) 가공기계 조작원
1213,873103, , ,낙농품 가공기계 조작원
1214,873200, , ,제분·도정 기계 조작원
1215,873300, , ,곡물 가공제품 기계 조작원
1216,873301, , ,과자·빵·떡·캔디·초콜릿 제조기계 조작원
1217,873302, , ,두부 및 유사제품 생산기계 조작원
1218,873303, , ,국수 및 면류제품 생산기계 조작원
1219,873400, , ,과실·채소 기계 조작원
1220,873500, , ,음료 제조기계 조작원
1221,873900, , ,"기타 식품가공기계 조작원(유지, 장류, 조미식품, 설탕, 커피, 담배 등)"
1222,12,설치·정비·생산-인쇄·목재·공예 및 제조 단순, , 
1223,121, ,인쇄기계·사진현상기 조작, 
1224,881100, , ,인쇄기계 조작원
1225,881101, , ,인쇄판·인쇄필름 출력원
1226,881102, , ,오프셋·윤전 인쇄기 조작원
1227,881103, , ,그라비어 인쇄기 조작원
1228,881104, , ,스크린 인쇄기 조작원(실크스크린 포함)
1229,881105, , ,디지털 및 기타 인쇄기 조작원
1230,881106, , ,인쇄 후가공원
1231,881107, , ,제책·제본기 조작원
1232,881200, , ,사진 인화·현상기 조작원(사진수정 포함)
1233,122, ,목재·펄프·종이 생산, 
1234,882101, , ,목재 가공기계 조작원
1235,882102, , ,합판 제조기계 조작원
1236,882200, , ,펄프·종이 제조장치 조작원
1237,882300, , ,종이제품 생산기계 조작원
1238,882900, , ,기타 목재·종이 기계 조작원
